001,Title -- 245^$0$0$a,Publication -- 260^$ $ $a,Publication Frequency -- 310^$ $ $a,"Production, Publication -- 264^$ $1$c",Topical Term -- 650^$ $7$2,Index Term -- 653^$ $6$a,Electronic Access -- 856^$ $2$u,710,246,500,775,022,247,321,580,546,521,900,300,490,700,041,773,981,711,110,901,692,250,525,600,983,505,record - leader,008,035,040,336,337,338,996,998
9918687950101480,^$0$3$aDe gildestem.,S.l.,Unknown,,,Periodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,00493nas  2200169u  4500,991223q19851989xxuur|p||     0|||a|eng c,^$ $ $a(BeLVLBS)001868795LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918687950101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,
,,ACW. Verbond Brugge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[1982]-[1983],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9918748890101480,Onze lieve vrouw van Kortenbos.,,Other,1982-[1990],,Periodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,00622nas  2200205u  4500,971010q19821990be zr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001874889LBS01-Aleph^$ $ $a7186013^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918748890101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $ $aKADOC$ $ $bphysical$ $ $c202004$ $ $9local,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as
,,,,Sint-Truiden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Onze lieve vrouw van Kortenbos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1982-[1990],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9918753570101480,Nieuws stichting Chili.,,Unknown,[1983]-[1987],^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT),,,^$2$ $aNorbertijnen Abdij Tongerlo$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,00723nas  2200217u  4500,971013d19831987be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001875357LBS01-Aleph^$ $ $a7188117^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918753570101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $ $aKADOC$ $ $bphysical$ $ $c201808$ $ $dA$ $ $9local,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as
,,,,Tongerlo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Norbertijnen Tongerlo,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,, [1983]-[1987],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9918754260101480,Toets,,Unknown,1983-[2010],^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $aarbeidersbeweging$ $ $6(ODIS-TW)2656,Periodicals,,,^$1$3$aToets$ $ $bhet LBC-NVK vakbondsblad voor de KULeuven,^$ $ $aPublicatie stopgezet,,,,,,,,,,,,,,,,,,,,,,,,00838nas  2200241u  4500,971013d19832010be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001875426LBS01-Aleph^$ $ $a7188526^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918754260101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $ $aKADOC$ $ $bphysical$ $ $c202012$ $ $9local,
,"informatieblad van de syndicale werking LBC-NVK, ATP-KULeuven.",,,Leuven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Toets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1983-[2010],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9918761110101480,Pausbezoek.,,Monthly,,^$ $7$2KADOC$ $ $aC1$ $ $xKerken en religie$ $ $6(ODIS-HT),Periodicals,,,,^$ $ $aPaus Johannes Paulus II in Belgie in 1985^$ $ $aPauskrant,,,,,,,,,,,,,,,,,,,,,,,,00671nas  2200229u  4500,971014q19841986be mr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001876111LBS01-Aleph^$ $ $a7192058^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918761110101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as
,,[1984]-[1986],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9918775740101480,Parels : parels van Rooms katholieke journalistiek uit heden en verleden.,,Unknown,1982-[1988],,Periodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,00642nas  2200205u  4500,971020q19821988ne ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001877574LBS01-Aleph^$ $ $a7198581^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918775740101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as
,,,,Amsterdam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,R.K. initiatief comité,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9918779680101480,Sintal nieuws.,Leuven,Quarterly,,,,,,,,^$1$8$w(BeLVLBS)001877913LBS01-Aleph$ $ $tPen en pers$ $ $4780,,,,,,,,,,,,,,,,,,,,,,,00586nas  2200193u  4500,971021q19831986be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001877968LBS01-Aleph^$ $ $a7200436^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918779680101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as
,,Sintal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1983-[1986],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9918803310101480,Sprankel : berichtenblad van Hoogveld.,Veldegem,Quarterly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00550nas  2200181u  4500,971028q19831989be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001880331LBS01-Aleph^$ $ $a7210718^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918803310101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as
,,Sprankel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1983-[1989],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9918803990101480,"Solidarité Bolivië ""El Molino - Yocalla""",,Quarterly,[1983]-[2012],^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT),Periodicals,,^$2$ $aJeunes solidaires Bolivië$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,00770nas  2200229u  4500,971029q19832012be qr|p||     0|||a|fre c,^$ $ $a(BeLVLBS)001880399LBS01-Aleph^$ $ $a7211143^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918803990101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $ $aKADOC$ $ $bphysical$ $ $c202006$ $ $9local,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as
,,,,S.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jeunes solidaires Bolivië,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,[1983]-[2012].,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9918806510101480,Spoed-info,Brussel,Unknown,,,,,^$2$ $aNationale confederatie van ouderverenigingen.$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,00600nas  2200193u  4500,971029d19859999be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001880651LBS01-Aleph^$ $ $a7212254^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918806510101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as
,federatie besturen.,NCOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[1985]-?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9918826960101480,Salesiaans missienieuws.,Brussel,Quarterly,,,,,^$2$ $aDMOS.$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,00560nas  2200193u  4500,971106q19851987be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001882696LBS01-Aleph^$ $ $a7222064^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918826960101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as
,,DMOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[1985]-[1987],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9918829630101480,^$0$3$aDe syndicale jongerenkrant,S.l.,Quarterly,,,,,^$2$ $aACV$ $ $4oth^$2$ $aVKAJ.$ $ $4oth^$2$ $aKajottersbeweging$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,00735nas  2200217u  4500,971106d19849999be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001882963LBS01-Aleph^$ $ $a7223288^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918829630101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as
,driemaandelijks tijdschrift ACV - VKAJ - Kajottersbeweging /,ACV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Uitg. ACV in samenwerking met VKAJ en Kajottersbeweging.,1984-?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9918835320101480,Ter Munk.,Brussel,Quarterly,,,,,^$2$ $aVormingscentrum Ter Munk$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,00582nas  2200193u  4500,971110q19821984be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001883532LBS01-Aleph^$ $ $a7226032^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918835320101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as
,,Vormingscentrum Ter Munk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1982-[1984],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9918842830101480,Tip : tweemaandelijkse periodiek van St.-Paulusjeugdkampen.,Brussel,Bimonthly,,,,,^$2$ $aSt.-Paulusjeugdkampen$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,00623nas  2200193u  4500,971113q19829999be br|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001884283LBS01-Aleph^$ $ $a7229796^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918842830101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as
,,St.-Paulusjeugdkampen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[1982]-?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9918843440101480,Telex.,Hasselt,Quarterly,,,,,^$2$ $aSociaal en fiscaal middenstandssecretariaat$ $ $cHasselt$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,00626nas  2200193u  4500,971113q19841988be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001884344LBS01-Aleph^$ $ $a7230017^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918843440101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as
,,Sociaal en fiscaal middenstandssecretariaat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
